time,P,G(i),H_sun,T2m,WS10m,Int
20190715:2211,0.0,0.0,0.0,16.19,2.14,0.0

20190715:2311,0.0,0.0,0.0,15.59,2.14,0.0

20190716:0011,0.0,0.0,0.0,15.05,2.0,0.0

20190716:0111,0.0,0.0,0.0,14.64,1.93,0.0

20190716:0211,0.0,0.0,0.0,14.23,1.86,0.0

20190716:0311,0.0,0.0,0.0,14.03,1.72,0.0

20190716:0411,0.0,0.0,0.0,13.95,1.66,0.0

20190716:0511,77.8,20.24,5.2,14.17,1.59,0.0

20190716:0611,486.6,74.21,13.47,14.61,1.93,0.0

20190716:0711,1430.6,196.09,22.28,15.21,1.59,0.0

20190716:0811,2359.0,298.75,31.3,15.8,1.59,0.0

20190716:0911,1184.8,158.77,40.11,16.79,1.66,0.0

20190716:1011,640.7,94.35,48.15,18.45,1.86,0.0

20190716:1111,2954.8,372.78,54.55,19.19,2.48,0.0

20190716:1211,3091.8,388.1,58.08,18.97,3.1,0.0

20190716:1311,3475.4,435.52,57.65,19.27,3.03,0.0

20190716:1411,3138.3,394.72,53.44,19.82,3.24,0.0

20190716:1511,526.6,80.74,46.61,20.05,3.24,0.0

20190716:1611,2544.5,323.51,38.35,20.28,2.97,0.0

20190716:1711,1404.4,187.63,29.46,20.34,2.41,0.0

20190716:1811,1041.0,147.42,20.45,20.0,2.0,0.0

20190716:1911,428.3,68.3,11.72,19.17,1.38,0.0

20190716:2011,0.0,3.37,3.6,18.52,1.31,0.0

20190716:2111,0.0,0.0,0.0,17.47,1.38,0.0

20190716:2211,0.0,0.0,0.0,16.48,1.24,0.0

20190716:2311,0.0,0.0,0.0,15.53,1.31,0.0

20190717:0011,0.0,0.0,0.0,14.77,1.31,0.0

20190717:0111,0.0,0.0,0.0,14.28,1.24,0.0

20190717:0211,0.0,0.0,0.0,14.06,1.45,0.0

20190717:0311,0.0,0.0,0.0,14.04,1.72,0.0

20190717:0411,0.0,0.0,0.0,13.92,1.93,0.0

20190717:0511,0.0,3.37,5.05,13.54,2.14,0.0

20190717:0611,517.4,77.58,13.32,13.48,2.28,0.0

20190717:0711,322.4,53.53,22.14,13.78,2.9,0.0

20190717:0811,1852.0,234.62,31.16,14.26,3.17,0.0

20190717:0911,782.1,109.78,39.96,15.17,3.45,0.0

20190717:1011,1392.1,181.45,48.0,15.48,3.72,0.0

20190717:1111,3186.0,390.7,54.39,15.56,4.48,0.0

20190717:1211,3059.3,377.25,57.91,16.18,4.34,0.0

20190717:1311,955.9,130.64,57.5,16.15,4.62,0.0

20190717:1411,1636.3,210.48,53.29,16.31,4.28,0.0

20190717:1511,2750.8,342.59,46.48,17.05,3.52,0.0

20190717:1611,3087.7,384.28,38.23,17.88,3.31,0.0

20190717:1711,1840.7,237.41,29.34,17.62,3.45,0.0

20190717:1811,848.2,119.5,20.34,16.88,3.31,0.0

20190717:1911,109.8,25.3,11.6,16.75,3.59,0.0

20190717:2011,27.5,11.81,3.48,15.93,3.38,0.0

20190717:2111,0.0,0.0,0.0,15.24,3.31,0.0

20190717:2211,0.0,0.0,0.0,14.71,2.97,0.0

20190717:2311,0.0,0.0,0.0,14.35,2.62,0.0

20190718:0011,0.0,0.0,0.0,14.02,2.41,0.0

20190718:0111,0.0,0.0,0.0,13.44,2.48,0.0

20190718:0211,0.0,0.0,0.0,13.11,2.62,0.0

20190718:0311,0.0,0.0,0.0,12.87,2.62,0.0

20190718:0411,0.0,0.0,0.0,12.68,2.55,0.0

20190718:0511,95.3,22.77,4.89,12.5,2.55,0.0

20190718:0611,477.1,72.52,13.18,12.92,2.34,0.0

20190718:0711,838.3,116.1,22.0,13.84,3.86,0.0

20190718:0811,2969.9,368.13,31.01,14.68,4.07,0.0

20190718:0911,1731.4,220.68,39.82,15.5,4.28,0.0

20190718:1011,5207.6,635.9,47.84,16.39,4.34,0.0

20190718:1111,3559.6,437.7,54.23,16.75,4.28,0.0

20190718:1211,1113.2,149.69,57.74,16.98,4.34,0.0

20190718:1311,2440.1,305.92,57.33,17.17,4.21,0.0

20190718:1411,2076.4,263.31,53.15,17.48,4.28,0.0

20190718:1511,4042.4,497.7,46.35,17.56,3.86,0.0

20190718:1611,4074.1,502.64,38.11,17.78,3.72,0.0

20190718:1711,1917.8,246.69,29.23,17.75,3.72,0.0

20190718:1811,1158.9,163.45,20.22,17.45,3.24,0.0

20190718:1911,236.8,43.01,11.48,16.83,2.48,0.0

20190718:2011,0.0,2.53,3.34,16.17,1.86,0.0

20190718:2111,0.0,0.0,0.0,15.37,1.31,0.0

20190718:2211,0.0,0.0,0.0,14.79,1.31,0.0

20190718:2311,0.0,0.0,0.0,14.24,1.17,0.0

20190719:0011,0.0,0.0,0.0,13.78,1.31,0.0

20190719:0111,0.0,0.0,0.0,13.74,1.31,0.0

20190719:0211,0.0,0.0,0.0,13.67,1.52,0.0

20190719:0311,0.0,0.0,0.0,13.5,1.59,0.0

20190719:0411,0.0,0.0,0.0,13.44,1.66,0.0

20190719:0511,23.5,10.96,4.74,13.52,1.93,0.0

20190719:0611,482.1,73.36,13.02,13.69,2.14,0.0

20190719:0711,118.4,26.31,21.85,14.11,1.59,0.0

20190719:0811,202.8,38.1,30.87,14.46,1.79,0.0

20190719:0911,764.9,107.96,39.66,15.02,1.45,0.0

20190719:1011,4737.9,593.14,47.68,16.25,1.17,0.0

20190719:1111,2167.8,275.93,54.05,16.74,1.38,0.0

20190719:1211,5611.5,705.37,57.56,17.77,2.34,0.0

20190719:1311,3110.1,390.6,57.16,18.82,2.76,0.0

20190719:1411,1948.5,251.14,52.99,19.44,3.17,0.0

20190719:1511,3703.0,461.27,46.21,19.69,3.79,0.0

20190719:1611,2371.9,299.17,37.98,18.54,4.14,0.0

20190719:1711,1489.5,195.03,29.1,17.78,4.14,0.0

20190719:1811,394.4,63.51,20.09,17.67,3.38,0.0

20190719:1911,407.4,64.93,11.35,16.82,3.24,0.0

20190719:2011,0.0,5.06,3.21,16.63,3.38,0.0

20190719:2111,0.0,0.0,0.0,16.3,3.59,0.0

20190719:2211,0.0,0.0,0.0,15.73,3.45,0.0

20190719:2311,0.0,0.0,0.0,15.43,3.17,0.0

20190720:0011,0.0,0.0,0.0,15.05,2.9,0.0

20190720:0111,0.0,0.0,0.0,14.69,2.55,0.0

20190720:0211,0.0,0.0,0.0,14.56,2.14,0.0

20190720:0311,0.0,0.0,0.0,14.49,2.83,0.0

20190720:0411,0.0,0.0,0.0,14.33,3.79,0.0

20190720:0511,56.9,16.87,4.58,13.95,4.21,0.0

20190720:0611,196.5,37.1,12.87,13.6,3.93,0.0

20190720:0711,773.2,108.26,21.7,13.58,3.45,0.0

20190720:0811,2143.0,268.3,30.71,13.9,3.52,0.0

20190720:0911,3381.6,412.08,39.51,14.69,4.0,0.0

20190720:1011,1280.4,168.75,47.52,16.0,3.86,0.0

20190720:1111,5812.2,719.22,53.88,16.84,3.52,0.0

20190720:1211,2018.2,257.15,57.37,17.6,3.52,0.0

20190720:1311,3176.7,395.78,56.98,18.3,3.86,0.0

20190720:1411,4472.6,553.87,52.83,18.47,3.79,0.0

20190720:1511,1172.5,157.86,46.06,18.45,3.45,0.0

20190720:1611,1976.3,253.2,37.85,18.44,2.97,0.0

20190720:1711,1632.0,213.32,28.97,18.49,2.9,0.0

20190720:1811,301.0,51.71,19.96,18.25,2.62,0.0

20190720:1911,204.9,38.79,11.21,17.17,1.93,0.0

20190720:2011,0.0,1.69,3.06,16.66,1.72,0.0

20190720:2111,0.0,0.0,0.0,15.9,1.66,0.0

20190720:2211,0.0,0.0,0.0,15.11,1.72,0.0

20190720:2311,0.0,0.0,0.0,14.5,1.72,0.0

20190721:0011,0.0,0.0,0.0,14.14,1.79,0.0

20190721:0111,0.0,0.0,0.0,13.93,1.86,0.0

20190721:0211,0.0,0.0,0.0,13.5,2.0,0.0

20190721:0311,0.0,0.0,0.0,13.34,2.07,0.0

20190721:0411,0.0,0.0,0.0,13.05,2.21,0.0

20190721:0511,83.9,21.08,4.41,13.0,2.34,0.0

20190721:0611,94.8,22.77,12.71,13.38,2.55,0.0

20190721:0711,654.5,94.35,21.55,14.44,2.83,0.0

20190721:0811,711.1,101.61,30.56,16.03,4.41,0.0

20190721:0911,1502.4,195.52,39.35,16.92,3.66,0.0

20190721:1011,1658.2,214.43,47.35,17.8,4.21,0.0

20190721:1111,2325.2,293.55,53.7,18.55,4.9,0.0

20190721:1211,2072.4,263.92,57.19,19.25,6.28,0.0

20190721:1311,3354.5,415.01,56.8,19.17,6.48,0.0

20190721:1411,1467.5,192.33,52.66,18.71,5.72,0.0

20190721:1511,840.4,117.94,45.91,18.27,5.79,0.0

20190721:1611,736.1,105.24,37.71,17.82,6.0,0.0

20190721:1711,484.2,74.39,28.84,16.84,5.03,0.0

20190721:1811,92.5,22.68,19.83,16.71,5.31,0.0

20190721:1911,81.7,21.08,11.07,17.56,5.17,0.0

20190721:2011,0.0,1.69,2.91,18.02,5.17,0.0

20190721:2111,0.0,0.0,0.0,18.18,5.17,0.0

20190721:2211,0.0,0.0,0.0,18.15,5.17,0.0

20190721:2311,0.0,0.0,0.0,18.06,4.97,0.0

20190722:0011,0.0,0.0,0.0,17.97,4.76,0.0

20190722:0111,0.0,0.0,0.0,17.93,4.55,0.0

20190722:0211,0.0,0.0,0.0,17.84,4.41,0.0

20190722:0311,0.0,0.0,0.0,17.52,4.28,0.0

20190722:0411,0.0,0.0,0.0,17.07,4.28,0.0

20190722:0511,76.6,20.24,4.25,16.97,4.34,0.0

20190722:0611,481.5,74.21,12.55,17.19,4.34,0.0

20190722:0711,1383.4,192.94,21.39,17.8,4.69,0.0

20190722:0811,2293.6,290.43,30.4,18.51,6.21,0.0

20190722:0911,2679.6,335.47,39.19,19.7,6.14,0.0

20190722:1011,3784.8,469.8,47.18,20.71,5.72,0.0

20190722:1111,5673.0,709.55,53.51,21.71,5.24,0.0

20190722:1211,6304.4,795.9,56.99,22.62,5.24,0.0

20190722:1311,5151.2,648.06,56.61,23.12,5.31,0.0

20190722:1411,4021.4,505.84,52.49,23.3,5.45,0.0

20190722:1511,4450.5,557.87,45.76,23.25,5.45,0.0

20190722:1611,3966.6,497.93,37.56,22.91,5.24,0.0

20190722:1711,2414.9,313.63,28.69,22.25,4.97,0.0

20190722:1811,964.7,137.73,19.68,21.4,4.62,0.0

20190722:1911,96.8,23.61,10.92,20.01,4.48,0.0

20190722:2011,0.0,1.69,2.76,19.06,4.14,0.0

20190722:2111,0.0,0.0,0.0,18.17,4.0,0.0

20190722:2211,0.0,0.0,0.0,17.88,3.93,0.0

20190722:2311,0.0,0.0,0.0,17.6,3.86,0.0

20190723:0011,0.0,0.0,0.0,17.23,3.93,0.0

20190723:0111,0.0,0.0,0.0,16.96,3.86,0.0

20190723:0211,0.0,0.0,0.0,16.66,3.79,0.0

20190723:0311,0.0,0.0,0.0,16.46,3.72,0.0

20190723:0411,0.0,0.0,0.0,16.27,3.66,0.0

20190723:0511,27.4,11.81,4.07,16.03,3.66,0.0

20190723:0611,348.6,57.34,12.39,16.28,4.9,0.0

20190723:0711,640.2,93.45,21.23,16.87,4.34,0.0

20190723:0811,995.7,136.09,30.24,17.64,5.31,0.0

20190723:0911,1473.1,192.81,39.02,18.41,5.24,0.0

20190723:1011,1033.6,141.53,47.0,19.24,5.24,0.0

20190723:1111,1655.8,215.92,53.32,20.04,5.24,0.0

20190723:1211,1674.6,218.64,56.79,20.49,5.1,0.0

20190723:1311,2190.2,281.13,56.41,21.25,4.83,0.0

20190723:1411,5177.1,650.04,52.31,21.65,4.21,0.0

20190723:1511,5692.3,713.95,45.59,21.86,4.41,0.0

20190723:1611,3659.4,459.15,37.41,22.05,4.76,0.0

20190723:1711,2752.1,357.27,28.55,21.75,4.34,0.0

20190723:1811,1136.8,175.7,19.54,20.96,3.45,0.0

20190723:1911,296.9,51.44,10.77,19.55,2.83,0.0

20190723:2011,0.0,2.53,2.59,18.75,2.76,0.0

20190723:2111,0.0,0.0,0.0,17.84,2.76,0.0

20190723:2211,0.0,0.0,0.0,17.03,2.62,0.0

20190723:2311,0.0,0.0,0.0,16.48,2.69,0.0

20190724:0011,0.0,0.0,0.0,16.3,2.76,0.0

20190724:0111,0.0,0.0,0.0,16.1,2.83,0.0

20190724:0211,0.0,0.0,0.0,15.85,2.83,0.0

20190724:0311,0.0,0.0,0.0,15.66,2.83,0.0

20190724:0411,0.0,0.0,0.0,15.8,2.97,0.0

20190724:0511,61.3,17.71,3.9,15.85,2.76,0.0

20190724:0611,442.3,69.15,12.22,16.34,3.59,0.0

20190724:0711,1255.6,172.98,21.07,16.73,3.03,0.0

20190724:0811,1826.9,234.87,30.08,17.25,3.17,0.0

20190724:0911,2137.3,271.04,38.85,17.73,3.31,0.0

20190724:1011,3779.4,468.42,46.82,18.58,3.66,0.0

20190724:1111,5478.4,681.9,53.13,19.22,3.93,0.0

20190724:1211,5375.1,670.56,56.59,20.12,4.34,0.0

20190724:1311,3438.4,430.38,56.21,20.26,4.21,0.0

20190724:1411,3461.2,432.25,52.12,19.94,4.14,0.0

20190724:1511,1242.2,166.93,45.42,19.91,4.41,0.0

20190724:1611,1328.4,177.12,37.25,19.83,4.34,0.0

20190724:1711,1326.3,177.1,28.39,19.56,3.93,0.0

20190724:1811,978.0,138.93,19.38,19.18,3.45,0.0

20190724:1911,155.1,32.04,10.61,18.47,3.24,0.0

20190724:2011,14.6,9.28,2.43,17.47,2.83,0.0

20190724:2111,0.0,0.0,0.0,16.65,3.1,0.0

20190724:2211,0.0,0.0,0.0,16.21,3.66,0.0

20190724:2311,0.0,0.0,0.0,16.13,4.0,0.0

20190725:0011,0.0,0.0,0.0,16.45,4.21,0.0

20190725:0111,0.0,0.0,0.0,16.86,4.48,0.0

20190725:0211,0.0,0.0,0.0,17.14,4.83,0.0

20190725:0311,0.0,0.0,0.0,17.29,5.03,0.0

20190725:0411,0.0,0.0,0.0,17.35,5.24,0.0

20190725:0511,60.7,17.71,3.72,17.38,5.17,0.0

20190725:0611,27.2,11.81,12.05,17.48,5.03,0.0

20190725:0711,103.9,24.5,20.9,17.73,4.83,0.0

20190725:0811,832.4,117.03,29.91,18.33,5.59,0.0

20190725:0911,641.6,94.35,38.68,19.21,7.31,0.0

20190725:1011,768.7,109.78,46.64,19.39,7.24,0.0

20190725:1111,981.2,135.18,52.93,19.34,6.76,0.0

20190725:1211,1317.2,175.1,56.38,19.57,6.76,0.0

20190725:1311,2340.3,296.12,56.0,20.18,7.38,0.0

20190725:1411,1477.9,195.06,51.93,20.8,6.9,0.0

20190725:1511,2601.8,328.39,45.25,21.43,7.1,0.0

20190725:1611,1607.9,210.95,37.08,21.33,6.41,0.0

20190725:1711,417.3,67.14,28.23,20.84,6.28,0.0

20190725:1811,899.1,128.19,19.22,20.05,6.34,0.0

20190725:1911,291.6,50.6,10.44,19.09,5.38,0.0

20190725:2011,0.0,0.84,2.25,18.29,5.31,0.0

20190725:2111,0.0,0.0,0.0,17.6,5.1,0.0

20190725:2211,0.0,0.0,0.0,17.52,5.31,0.0

20190725:2311,0.0,0.0,0.0,17.32,5.38,0.0

20190726:0011,0.0,0.0,0.0,17.21,5.31,0.0

20190726:0111,0.0,0.0,0.0,17.0,5.03,0.0

20190726:0211,0.0,0.0,0.0,16.7,4.62,0.0

20190726:0311,0.0,0.0,0.0,16.33,4.34,0.0

20190726:0411,0.0,0.0,0.0,16.23,4.21,0.0

20190726:0511,0.0,2.53,3.54,16.18,4.07,0.0

20190726:0611,395.3,63.24,11.88,16.16,3.38,0.0

20190726:0711,1113.4,152.62,20.73,16.49,4.14,0.0

20190726:0811,1082.5,146.13,29.74,17.03,4.28,0.0

20190726:0911,2981.8,369.64,38.51,17.76,4.41,0.0

20190726:1011,3253.1,403.22,46.45,18.51,4.62,0.0

20190726:1111,3664.0,455.02,52.73,19.19,4.34,0.0

20190726:1211,2857.1,357.74,56.16,18.87,4.34,0.0

20190726:1311,1784.2,230.44,55.79,18.79,4.0,0.0

20190726:1411,5555.5,693.07,51.73,19.26,3.72,0.0

20190726:1511,4539.8,564.3,45.07,19.18,3.38,0.0

20190726:1611,4467.8,557.67,36.91,19.34,2.97,0.0

20190726:1711,2168.3,279.91,28.07,18.68,2.55,0.0

20190726:1811,1103.7,158.12,19.05,17.69,2.97,0.0

20190726:1911,333.0,55.66,10.27,17.21,1.93,0.0

20190726:2011,0.0,0.0,0.0,16.37,1.45,0.0

20190726:2111,0.0,0.0,0.0,15.99,1.31,0.0

20190726:2211,0.0,0.0,0.0,15.46,1.38,0.0

20190726:2311,0.0,0.0,0.0,15.23,1.59,0.0

20190727:0011,0.0,0.0,0.0,14.71,1.72,0.0

20190727:0111,0.0,0.0,0.0,14.18,1.59,0.0

20190727:0211,0.0,0.0,0.0,13.51,1.45,0.0

20190727:0311,0.0,0.0,0.0,12.94,1.45,0.0

20190727:0411,0.0,0.0,0.0,12.5,1.45,0.0

20190727:0511,47.3,15.18,3.36,11.98,1.45,0.0

20190727:0611,443.5,68.3,11.7,12.26,1.24,0.0

20190727:0711,1450.5,214.27,20.56,13.22,1.59,0.0

20190727:0811,3389.9,424.31,29.57,14.23,2.07,0.0

20190727:0911,4758.9,585.64,38.33,15.32,2.28,0.0

20190727:1011,5480.0,679.1,46.26,16.32,2.55,0.0

20190727:1111,4165.3,517.0,52.52,17.37,2.62,0.0

20190727:1211,5304.2,663.76,55.94,17.94,2.62,0.0

20190727:1311,2995.1,375.74,55.57,18.2,2.62,0.0

20190727:1411,4254.5,531.03,51.53,18.46,2.55,0.0

20190727:1511,4142.6,516.14,44.88,18.27,2.41,0.0

20190727:1611,3774.4,471.15,36.74,18.26,2.28,0.0

20190727:1711,2339.0,301.25,27.9,18.31,2.28,0.0

20190727:1811,1075.1,154.38,18.88,18.12,2.0,0.0

20190727:1911,306.6,52.28,10.1,17.46,2.62,0.0

20190727:2011,0.0,0.0,0.0,16.46,2.69,0.0

20190727:2111,0.0,0.0,0.0,15.42,2.48,0.0

20190727:2211,0.0,0.0,0.0,14.93,2.28,0.0

20190727:2311,0.0,0.0,0.0,14.33,2.07,0.0

20190728:0011,0.0,0.0,0.0,13.92,2.07,0.0

20190728:0111,0.0,0.0,0.0,13.42,2.07,0.0

20190728:0211,0.0,0.0,0.0,13.02,2.0,0.0

20190728:0311,0.0,0.0,0.0,12.58,2.0,0.0

20190728:0411,0.0,0.0,0.0,12.13,1.93,0.0

20190728:0511,23.8,10.96,3.17,11.85,1.93,0.0

20190728:0611,341.7,55.66,11.52,12.19,2.0,0.0

20190728:0711,786.1,109.84,20.38,13.06,2.34,0.0

20190728:0811,1664.3,212.5,29.4,13.77,2.62,0.0

20190728:0911,1605.9,206.11,38.15,14.78,2.76,0.0

20190728:1011,1218.7,161.49,46.07,15.6,2.97,0.0

20190728:1111,3868.5,476.61,52.31,16.31,3.03,0.0

20190728:1211,3483.5,432.55,55.71,17.15,2.83,0.0

20190728:1311,4040.7,502.09,55.35,17.24,2.48,0.0

20190728:1411,3866.1,480.53,51.32,17.26,2.34,0.0

20190728:1511,2615.0,328.56,44.69,17.34,2.28,0.0

20190728:1611,2176.4,276.22,36.56,17.19,2.07,0.0

20190728:1711,977.5,134.3,27.72,17.19,2.0,0.0

20190728:1811,920.6,130.24,18.71,17.09,1.86,0.0

20190728:1911,132.5,28.67,9.91,17.08,1.59,0.0

20190728:2011,0.0,0.0,0.0,16.35,1.45,0.0

20190728:2111,0.0,0.0,0.0,15.5,1.52,0.0

20190728:2211,0.0,0.0,0.0,15.08,1.59,0.0

20190728:2311,0.0,0.0,0.0,14.62,1.52,0.0

20190729:0011,0.0,0.0,0.0,14.23,1.45,0.0

20190729:0111,0.0,0.0,0.0,13.81,1.31,0.0

20190729:0211,0.0,0.0,0.0,13.24,1.31,0.0

20190729:0311,0.0,0.0,0.0,12.84,1.31,0.0

20190729:0411,0.0,0.0,0.0,12.46,1.31,0.0

20190729:0511,23.7,10.96,2.98,12.23,1.24,0.0

20190729:0611,408.4,64.09,11.34,12.55,1.03,0.0

20190729:0711,1409.0,207.74,20.21,13.66,0.69,0.0

20190729:0811,3272.9,415.28,29.22,14.94,0.76,0.0

20190729:0911,4222.6,530.14,37.96,16.07,0.55,0.0

20190729:1011,4750.9,600.62,45.87,17.13,0.76,0.0

20190729:1111,4690.1,594.0,52.09,17.75,0.97,0.0

20190729:1211,2294.8,293.08,55.48,17.88,1.17,0.0

20190729:1311,4435.3,562.6,55.12,18.26,0.97,0.0

20190729:1411,1867.5,242.15,51.1,18.38,1.03,0.0

20190729:1511,693.1,100.7,44.49,18.09,1.1,0.0

20190729:1611,710.2,102.52,36.37,17.52,1.24,0.0

20190729:1711,415.8,66.23,27.54,17.27,0.97,0.0

20190729:1811,86.3,21.77,18.52,17.13,0.83,0.0

20190729:1911,144.8,30.36,9.72,16.28,0.69,0.0

20190729:2011,0.0,0.0,0.0,15.78,0.76,0.0

20190729:2111,0.0,0.0,0.0,15.03,1.52,0.0

20190729:2211,0.0,0.0,0.0,14.21,2.0,0.0

20190729:2311,0.0,0.0,0.0,14.24,2.34,0.0

20190730:0011,0.0,0.0,0.0,14.16,2.41,0.0

20190730:0111,0.0,0.0,0.0,14.0,2.48,0.0

20190730:0211,0.0,0.0,0.0,13.73,2.55,0.0

20190730:0311,0.0,0.0,0.0,13.62,2.69,0.0

20190730:0411,0.0,0.0,0.0,13.3,2.76,0.0

20190730:0511,0.0,1.69,2.79,13.03,2.9,0.0

20190730:0611,129.7,27.83,11.16,13.07,2.9,0.0

20190730:0711,197.0,37.2,20.03,13.78,3.24,0.0

20190730:0811,497.5,75.3,29.04,14.32,4.07,0.0

20190730:0911,399.7,63.51,37.78,15.11,3.66,0.0

20190730:1011,778.3,109.78,45.67,16.17,3.52,0.0

20190730:1111,1144.7,153.32,51.87,16.69,3.79,0.0

20190730:1211,769.8,108.87,55.25,16.61,4.41,0.0

20190730:1311,2253.4,283.55,54.88,17.03,4.34,0.0

20190730:1411,1475.9,192.33,50.88,17.09,4.41,0.0

20190730:1511,3614.0,443.86,44.28,17.25,4.34,0.0

20190730:1611,2990.6,369.86,36.17,17.23,4.34,0.0

20190730:1711,1705.9,220.74,27.35,17.4,4.41,0.0

20190730:1811,875.7,124.42,18.33,17.17,4.28,0.0

20190730:1911,309.4,52.28,9.53,15.9,4.0,0.0

20190730:2011,0.0,0.0,0.0,15.5,3.72,0.0

20190730:2111,0.0,0.0,0.0,15.21,3.45,0.0

20190730:2211,0.0,0.0,0.0,14.9,3.31,0.0

20190730:2311,0.0,0.0,0.0,14.5,3.17,0.0